_id,ID,level,temperature,voltage,technology,status,health,usage,WiFi,Cellular,Hotspot,GPS,Bluetooth,RAM,Brightness,isInteractive,SampleFreq,brandModel,androidVersion,availCapacityPercentage,Timestamp
5f43a73374fece0206631c42,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,100,false,true,false,true,true,27.85,782,true,10,xiaomi-Redmi Note 7,9,100,1598178555885
5f43a73374fece0206631c43,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,48,false,true,false,true,true,26.88,782,true,10,xiaomi-Redmi Note 7,9,100,1598178565885
5f43a73374fece0206631c44,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,48,false,true,false,true,true,26.78,782,true,10,xiaomi-Redmi Note 7,9,100,1598178575885
5f43a73374fece0206631c45,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,48,false,true,false,true,true,26.56,782,true,10,xiaomi-Redmi Note 7,9,100,1598178585884
5f43a73374fece0206631c46,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,44,false,true,false,true,true,26.11,782,true,10,xiaomi-Redmi Note 7,9,100,1598178595885
5f43a73374fece0206631c47,ad896f37958c4b3b84ef8a0c1d792eb0,100,34.0,4.35,Li-poly,3,2,49,false,true,false,true,true,26.81,782,true,10,xiaomi-Redmi Note 7,9,100,1598178605885
5f43a73374fece0206631c48,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,62,false,true,false,true,true,26.31,782,true,10,xiaomi-Redmi Note 7,9,100,1598178615884
5f43a73374fece0206631c49,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,76,false,true,false,true,true,26.48,782,true,10,xiaomi-Redmi Note 7,9,100,1598178625885
5f43a73374fece0206631c4a,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,75,false,true,false,true,true,26.66,782,true,10,xiaomi-Redmi Note 7,9,100,1598178635885
5f43a73374fece0206631c4b,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,45,false,true,false,true,true,26.41,782,true,10,xiaomi-Redmi Note 7,9,100,1598178645885
5f43a73374fece0206631c4c,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,72,false,true,false,true,true,26.12,782,true,10,xiaomi-Redmi Note 7,9,100,1598178655884
5f43a73374fece0206631c4d,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,57,false,true,false,true,true,26.4,782,true,10,xiaomi-Redmi Note 7,9,100,1598178665884
5f43a73374fece0206631c4e,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.248,Li-poly,3,2,44,false,true,false,true,true,26.26,782,true,10,xiaomi-Redmi Note 7,9,100,1598178675885
5f43a73374fece0206631c4f,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.308,Li-poly,3,2,39,false,true,false,true,true,26.16,782,true,10,xiaomi-Redmi Note 7,9,100,1598178685884
5f43a73374fece0206631c50,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.308,Li-poly,3,2,44,false,true,false,true,true,26.01,782,true,10,xiaomi-Redmi Note 7,9,100,1598178695885
5f43a73374fece0206631c51,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.308,Li-poly,3,2,39,false,true,false,true,true,26.03,782,true,10,xiaomi-Redmi Note 7,9,100,1598178705886
5f43a73374fece0206631c52,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.308,Li-poly,3,2,44,false,true,false,true,true,25.99,792,true,10,xiaomi-Redmi Note 7,9,100,1598178715884
5f43a73374fece0206631c53,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.308,Li-poly,3,2,45,false,true,false,true,true,25.97,792,true,10,xiaomi-Redmi Note 7,9,100,1598178725885
5f43a73374fece0206631c54,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,76,false,true,false,true,true,26.46,792,true,10,xiaomi-Redmi Note 7,9,100,1598178735884
5f43a73374fece0206631c55,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,87,false,true,false,true,true,26.83,792,true,10,xiaomi-Redmi Note 7,9,100,1598178745884
5f43a73374fece0206631c56,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,48,false,true,false,true,true,27.52,792,true,10,xiaomi-Redmi Note 7,9,100,1598178755884
5f43a73374fece0206631c57,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,56,false,true,false,true,true,27.08,792,true,10,xiaomi-Redmi Note 7,9,100,1598178765885
5f43a73374fece0206631c58,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,44,false,true,false,true,true,26.32,792,true,10,xiaomi-Redmi Note 7,9,100,1598178775885
5f43a73374fece0206631c59,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,42,false,true,false,true,true,26.38,792,true,10,xiaomi-Redmi Note 7,9,100,1598178785885
5f43a73374fece0206631c5a,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,33,false,true,false,true,true,27.23,792,true,10,xiaomi-Redmi Note 7,9,100,1598178795885
5f43a73374fece0206631c5b,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,50,false,true,false,true,true,28.03,792,true,10,xiaomi-Redmi Note 7,9,100,1598178805885
5f43a73374fece0206631c5c,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,58,false,true,false,true,true,27.94,792,true,10,xiaomi-Redmi Note 7,9,100,1598178815884
5f43a73374fece0206631c5d,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,49,false,true,false,true,true,27.91,792,true,10,xiaomi-Redmi Note 7,9,100,1598178825885
5f43a73374fece0206631c5e,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,47,false,true,false,true,true,27.35,792,true,10,xiaomi-Redmi Note 7,9,100,1598178835885
5f43a73374fece0206631c5f,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,42,false,true,false,true,true,27.26,789,true,10,xiaomi-Redmi Note 7,9,100,1598178845885
5f43a73374fece0206631c60,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.3,Li-poly,3,2,40,false,true,false,true,true,27.31,789,true,10,xiaomi-Redmi Note 7,9,100,1598178855885
5f43a73374fece0206631c61,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.31,Li-poly,3,2,44,false,true,false,true,true,25.87,0,false,10,xiaomi-Redmi Note 7,9,100,1598178865884
5f43a73374fece0206631c62,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.31,Li-poly,3,2,45,false,true,false,true,true,27.19,0,false,10,xiaomi-Redmi Note 7,9,100,1598178875885
5f43a73374fece0206631c63,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,48,false,true,false,true,true,27.59,0,false,10,xiaomi-Redmi Note 7,9,100,1598178885886
5f43a73374fece0206631c64,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,48,false,true,false,true,true,27.53,0,false,10,xiaomi-Redmi Note 7,9,100,1598178895885
5f43a73374fece0206631c65,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,44,false,true,false,true,true,27.49,0,false,10,xiaomi-Redmi Note 7,9,100,1598178905886
5f43a73374fece0206631c66,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,46,false,true,false,true,true,27.5,0,false,10,xiaomi-Redmi Note 7,9,100,1598178915884
5f43a73374fece0206631c67,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,37,false,true,false,true,true,27.64,0,false,10,xiaomi-Redmi Note 7,9,100,1598178925885
5f43a73374fece0206631c68,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,45,false,true,false,true,true,27.6,0,false,10,xiaomi-Redmi Note 7,9,100,1598178935885
5f43a73374fece0206631c69,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,49,false,true,false,true,true,27.62,0,false,10,xiaomi-Redmi Note 7,9,100,1598178945884
5f43a73374fece0206631c6a,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,44,false,true,false,true,true,27.57,0,false,10,xiaomi-Redmi Note 7,9,100,1598178955885
5f43a73374fece0206631c6b,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,37,false,true,false,true,true,27.55,0,false,10,xiaomi-Redmi Note 7,9,100,1598178965885
5f43a73374fece0206631c6c,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,44,false,true,false,true,true,27.58,0,false,10,xiaomi-Redmi Note 7,9,100,1598178975885
5f43a73374fece0206631c6d,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,44,false,true,false,true,true,27.54,0,false,10,xiaomi-Redmi Note 7,9,100,1598178985886
5f43a73374fece0206631c6e,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,49,false,true,false,true,true,27.53,0,false,10,xiaomi-Redmi Note 7,9,100,1598178995886
5f43a73374fece0206631c6f,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,44,false,true,false,true,true,27.55,0,false,10,xiaomi-Redmi Note 7,9,100,1598179005884
5f43a73374fece0206631c70,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,42,false,true,false,true,true,27.5,0,false,10,xiaomi-Redmi Note 7,9,100,1598179015885
5f43a73374fece0206631c71,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,45,false,true,false,true,true,27.66,0,false,10,xiaomi-Redmi Note 7,9,100,1598179025884
5f43a73374fece0206631c72,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,45,false,true,false,true,true,27.58,0,false,10,xiaomi-Redmi Note 7,9,100,1598179035885
5f43a73374fece0206631c73,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,47,false,true,false,true,true,27.55,0,false,10,xiaomi-Redmi Note 7,9,100,1598179045886
5f43a73374fece0206631c74,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,48,false,true,false,true,true,27.72,0,false,10,xiaomi-Redmi Note 7,9,100,1598179055884
5f43a73374fece0206631c75,ad896f37958c4b3b84ef8a0c1d792eb0,100,36.0,4.326,Li-poly,3,2,45,false,true,false,true,true,27.69,0,false,10,xiaomi-Redmi Note 7,9,100,1598179065884
5f43a73374fece0206631c76,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,44,false,true,false,true,true,27.66,0,false,10,xiaomi-Redmi Note 7,9,100,1598179075886
5f43a73374fece0206631c77,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,35,false,true,false,true,true,27.66,0,false,10,xiaomi-Redmi Note 7,9,100,1598179085884
5f43a73374fece0206631c78,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,31,false,true,false,true,true,26.18,0,false,10,xiaomi-Redmi Note 7,9,100,1598179095886
5f43a73374fece0206631c79,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,47,false,true,false,true,true,26.2,0,false,10,xiaomi-Redmi Note 7,9,100,1598179105885
5f43a73374fece0206631c7a,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,48,false,true,false,true,true,26.25,0,false,10,xiaomi-Redmi Note 7,9,100,1598179115888
5f43a73374fece0206631c7b,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,47,false,true,false,true,true,26.25,0,false,10,xiaomi-Redmi Note 7,9,100,1598179125887
5f43a73374fece0206631c7c,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,49,false,true,false,true,true,26.21,0,false,10,xiaomi-Redmi Note 7,9,100,1598179135885
5f43a73374fece0206631c7d,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,44,false,true,false,true,true,26.21,0,false,10,xiaomi-Redmi Note 7,9,100,1598179145884
5f43a73374fece0206631c7e,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,49,false,true,false,true,true,26.51,0,false,10,xiaomi-Redmi Note 7,9,100,1598179155886
5f43a73374fece0206631c7f,ad896f37958c4b3b84ef8a0c1d792eb0,100,35.0,4.324,Li-poly,3,2,43,false,true,false,true,true,26.48,0,false,10,xiaomi-Redmi Note 7,9,100,1598179165885
