_id,ID,level,temperature,voltage,technology,status,health,usage,WiFi,Cellular,Hotspot,GPS,Bluetooth,RAM,Brightness,isInteractive,SampleFreq,brandModel,androidVersion,availCapacityPercentage,Timestamp
5f0a048f38f552c5c28c9565,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,100,true,false,false,true,false,21.91,3893,true,10,xiaomi-Redmi Note 5,9,89,1594365552435
5f0a048f38f552c5c28c9566,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,100,true,false,false,true,false,22.06,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365554603
5f0a048f38f552c5c28c9567,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,97,true,false,false,true,false,20.75,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365560603
5f0a048f38f552c5c28c9568,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,97,true,false,false,true,false,21.1,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365566604
5f0a048f38f552c5c28c9569,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,100,true,false,false,true,false,21.52,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365572614
5f0a048f38f552c5c28c956a,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,97,true,false,false,true,false,20.39,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365578603
5f0a048f38f552c5c28c956b,fcd4594565a94482bd5b18c6e01ca2a3,89,36.0,4.082,Li-poly,3,2,90,true,false,false,true,false,20.7,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365584604
5f0a048f38f552c5c28c956c,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,100,true,false,false,true,false,21.22,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365590604
5f0a048f38f552c5c28c956d,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,97,true,false,false,true,false,21.25,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365596603
5f0a048f38f552c5c28c956e,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,94,true,false,false,true,false,20.69,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365602605
5f0a048f38f552c5c28c956f,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,92,true,false,false,true,false,20.81,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365608603
5f0a048f38f552c5c28c9570,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,97,true,false,false,true,false,20.78,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365614604
5f0a048f38f552c5c28c9571,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,97,true,false,false,true,false,20.78,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365620603
5f0a048f38f552c5c28c9572,fcd4594565a94482bd5b18c6e01ca2a3,89,37.0,4.11,Li-poly,3,2,97,true,false,false,true,false,20.75,3893,true,6,xiaomi-Redmi Note 5,9,89,1594365626603
